,Date,Country,City,State,Company,Type,Keywords
77,2022-01-24,Germany,Volkach,BY,Bank,In process of analysis,"Bavaria, Finance, Money,Raiffeisenbank Mainschleife - Steigerwald eG"
78,2022-01-24,India,Mumbai,Mumbai,Airline,In process of analysis,"Transportation,Airline,Aviation,Go First"
79,2022-01-24,USA,Campbellsville KY,KY,,In process of analysis,"Kentucky, Taylor County, Healthcare,Taylor Regional Hospital"
80,2022-01-24,USA,Jacksonville FL,FL,Healthcare,Ransomware,"Florida, Healthcare,Jax Spine & Pain Centers"
81,2022-01-24,USA,Albany OR,OR,County administration,Ransomware,"Oregon, Administration, Authority, Government, Public sector,Linn County"
82,2022-01-25,Canada,Toronto ON,ON,Hospitals,In process of analysis,"Ontario, Healthcare,Scarborough Health Network (SHN)"
83,2022-01-25,Germany,Münster,NW,University of Applied Sciences,DDoS attack,"North Rhine-Westphalia, College, University, Research,FH Münster,MUnster,FH MUnster"
84,2022-01-25,France,Guyancourt,Guyancourt,Engineering consulting,Ransomware,"Île-de-France, Département Yvelines,Egis"
85,2022-01-25,Japan,Wakayama,Wakayama,,In process of analysis,秋葉山公園県民水泳場 (Akibayama Park Prefectural Swimming Pool)
86,2022-01-26,Belgium,Tielt,Tielt,Hospital,In process of analysis,"West-Vlaanderen, Healthcare,Sint-Andriesziekenhuis"
87,2022-01-26,People's Republic of China,Hong Kong,Hong Kong,Online store,In process of analysis,香港科技探索有限公司 (Hong Kong Technology Venture Company Limited HKTV)
88,2022-01-26,North Korea,Missing,Missing,Internet,DDoS attack,
90,2022-01-27,Germany,Frankfurt/Main,HE,Service company,In process of analysis,"Hesse, Aviation,Transportation,Aerodrome, Airport, Airfield,WISAG"
91,2022-01-27,Germany,Essen,NW,Foundation,Socia media account takeover,"North Rhine-Westphalia,Alfried Krupp von Bohlen und Halbach-Stiftung"
92,2022-01-27,Germany,Münster,NW,University of Applied Sciences,DDoS attack,"North Rhine-Westphalia, College, University, Research,FH Münster,MUnster,FH MUnster"
93,2022-01-27,Iran,Missing,Missing,Television,In process of analysis,
94,2022-01-27,USA,New Bedford MA,MA,Police,In process of analysis,"Massachusetts, Administration, Authority, Government, Public sector,New Bedford Police"
95,2022-01-27,USA,Philadelphia PA,PA,Healthcare provider,In process of analysis,"Pennsylvania, Healthcare,Resources for Human Development"
96,2022-01-27,USA,Des Plaines IL,IL,Social service,In process of analysis,"Illinois, Cook County, Welfare, Social,Lutheran Social Services of Illinois (LSSI)"
97,2022-01-27,Brazil,São Paulo,São Paulo,Mobility,In process of analysis,"Transportation,99"
98,2022-01-28,Germany,Cologne,NW,Self-help organization,In process of analysis,"North Rhine-Westphalia, Köln, Koln, Healthcare,CRPS Bundesverband Deutschland e.V."
99,2022-01-28,France,Ajaccio,Ajaccio,Ferry company,In process of analysis,"Corse, Transportation,Corsica Linea"
100,2022-01-28,France,Paris,Paris,Ministry of Justice,In process of analysis,"Government,Justice, Legal,Administration, Authority, Government, Public sector,Ministère de la Justice"
101,2022-01-28,Japan,Osaka,Osaka,Construction company,In process of analysis,"Construction,積水ハウス株式会社 (Sekisui House Co., Ltd.)"
102,2022-01-28,United Kingdom,Slough,Slough,Snack producer,Ransomware,"England, Berkshire, United Kingdom,Groceries, Food,KP Snacks"
103,2022-01-28,United Kingdom,Bradford,Bradford,Glazing,Ransomware,"England, West Yorkshire, United Kingdom,Construction,Safestyle UK"
104,2022-01-29,Germany,Stuttgart,BW,Museum,Socia media account takeover,"Baden-Württemberg,Kunstmuseum Stuttgart,Baden-WUrttemberg"
105,2022-01-29,Netherlands,Kampen,Kampen,Vehicle manufacturer,Ransomware,"Overijssel, Automobile, Automotive, Cars,Broshuis BV"
106,2022-01-29,New Zealand,Wellington,Wellington,School uniforms,Ransomware,"Clothing, Fashion,NZ Uniforms"
107,2022-01-30,Belgium,Ghent,Ghent,Port terminal,In process of analysis,"Logistics,SEA-Invest"
108,2022-01-30,Germany,Hamburg,HH,Tank storage operator,In process of analysis,"Logistics,Oiltanking GmbH"
109,2022-01-31,Germany,Dortmund,NW,Art club,Socia media account takeover,"North Rhine-Westphalia,Hartware MedienKunstVerein (HMKV)"
110,2022-01-31,Israel,Missing,Missing,Logistics company,In process of analysis,Gold Bond Group Ltd.
111,2022-01-31,Netherlands,Terneuzen,Terneuzen,Oil terminals,In process of analysis,"Logistics,Evos"
112,2022-01-31,USA,New York City NY,NY,Media company,In process of analysis,"New York,News Corp."
113,2022-02-01,Spain,Monforte de Lemos,Monforte de Lemos,City administration,In process of analysis,"Lugo, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
114,2022-02-01,France,Nouméa,Nouméa,Airline,In process of analysis,"New Caledonia, Transportation,Airline,Aviation,Air Calédonie"
115,2022-02-01,Iran,Missing,Missing,Television,In process of analysis,
117,2022-02-02,Bermuda,Paget Parish,Paget Parish,College,In process of analysis,"College, University, Research,Bermuda College"
118,2022-02-03,Japan,Tokyo,Tokyo,Home appliances,In process of analysis,"Consumer goods,テスコム電機株式会社 (Tescom Denki Co., Ltd.)"
119,2022-02-03,Switzerland,Opfikon ZH,ZH,Airport ground services,Ransomware,"Canton of Zurich, Transportation,Aviation,Aerodrome, Airport, Airfield,Swissport"
120,2022-02-03,South Korea,Seoul,Seoul,Crypto platform,In process of analysis,"Finance, Money,KLAYswap"
121,2022-02-03,Netherlands,Amsterdam,Amsterdam,Real estate software,In process of analysis,Aareon Nederland B.V.
122,2022-02-03,USA,Quincy MA,MA,City administration,Ransomware,"Massachusetts, Norfolk County, Administration, Authority, Government, Public sector,City administration, City government, municipality, town hall"
123,2022-02-03,Belgium,Antwerp,Antwerp,Crematoria,In process of analysis,"Administration, Authority, Government, Public sector,Pontes"
124,2022-02-04,Czech Republic,Praha,Praha,TV station,DDoS attack,Česká televize (ČT)
125,2022-02-04,Finland,Kuopio,Kuopio,University of applied sciences,In process of analysis,"College, University, Research,Savonia-ammattikorkeakoulu (Savonia AMK)"
126,2022-02-04,Japan,Osaka,Osaka,Sporting goods,Ransomware,"Consumer goods,美津濃株式会社 (Mizuno Corporation)"
127,2022-02-04,USA,Detroit MI,MI,University,In process of analysis,"Michigan, College, University, Research,University of Detroit Mercy"
128,2022-02-05,Germany,Sindelfingen,BW,Museum,Socia media account takeover,"Baden-Württemberg, Böblingen district,Schauwerk Sindelfingen,Baden-WUrttemberg"
129,2022-02-05,France,Versailles,Versailles,Administrative center,In process of analysis,"Île-de-France, Département Yvelines, Administration, Authority, Government, Public sector,County administration,Centre Interdépartemental de Gestion (CIG) de la Grande Couronne"
130,2022-02-05,USA,Palo Alto CA,CA,Crypto platform,In process of analysis,"California, Finance, Money,Meter.io"
131,2022-02-06,Colombia,Bogota,Bogota,Agency,In process of analysis,"Administration, Authority, Government, Public sector,Groceries, Food,Medicaments, Medicines, Pharmaceutical,Instituto Nacional de Vigilancia de Medicamentos y Alimentos (INVIMA)"
132,2022-02-07,Japan,Kyōto,Kyōto,Clothing,In process of analysis,"Consumer goods,株式会社ワコール (Wacoal Co., Ltd.)"
133,2022-02-07,Portugal,Lisbon,Lisbon,Mobile phone provider,In process of analysis,Vodafone Portugal
134,2022-02-08,Germany,Ulm,BW,Museum,Socia media account takeover,"Baden-Württemberg,Museum Ulm,Baden-WUrttemberg"
135,2022-02-08,Ireland,Dublin,Dublin,Philanthropic society,Ransomware,Royal Dublin Society (RDS)
136,2022-02-08,Italy,Roma,Roma,Tourism agency,In process of analysis,"Lazio, Travel, Tourism,Italia,Agenzia Nazionale del Turismo (ENIT)"
137,2022-02-08,Italy,Rovereto,Rovereto,Power company,In process of analysis,"Trentino, Italia,Gruppo Dolomiti energia"
138,2022-02-08,Japan,Tokyo,Tokyo,Mechanical engineering,In process of analysis,株式会社 丸山製作所 (Maruyama Manufacturing Co)
139,2022-02-08,Japan,Osaka,Osaka,Cosmetics manufacturer,In process of analysis,"Consumer goods,株式会社タイキ (Taiki Corporation)"
